label,sign,accuracy_base,n_val,accuracy_me126,delta
143,minemy,0.6578947368421053,38,0.8157894736842105,0.1578947368421052
144,mitten,0.6578947368421053,38,0.6052631578947368,-0.052631578947368474
186,refrigerator,0.6666666666666666,36,0.75,0.08333333333333337
178,pretty,0.6666666666666666,39,0.7435897435897436,0.07692307692307698
52,cry,0.6666666666666666,39,0.7435897435897436,0.07692307692307698
65,dry,0.6666666666666666,39,0.6153846153846154,-0.05128205128205121
177,pretend,0.675,40,0.725,0.04999999999999993
56,dance,0.6774193548387096,31,0.6774193548387096,0.0
227,tree,0.6842105263157895,38,0.6842105263157895,0.0
205,stay,0.6842105263157895,38,0.6052631578947368,-0.07894736842105265
201,smile,0.6842105263157895,38,0.7631578947368421,0.07894736842105265
22,better,0.6842105263157895,38,0.7105263157894737,0.02631578947368418
37,carrot,0.6923076923076923,39,0.7692307692307693,0.07692307692307698
159,old,0.6923076923076923,39,0.8205128205128205,0.1282051282051282
138,mad,0.6923076923076923,39,0.7435897435897436,0.05128205128205132
203,snow,0.6923076923076923,39,0.717948717948718,0.02564102564102566
107,hate,0.6944444444444444,36,0.6111111111111112,-0.08333333333333326
220,time,0.6944444444444444,36,0.7222222222222222,0.02777777777777779
26,blue,0.6944444444444444,36,0.7777777777777778,0.08333333333333337
172,pizza,0.7,40,0.775,0.07500000000000007
217,think,0.7,40,0.675,-0.02499999999999991
192,scissors,0.7027027027027027,37,0.7297297297297297,0.027027027027026973
171,pig,0.7027027027027027,37,0.7567567567567568,0.05405405405405406
35,can,0.7027027027027027,37,0.6756756756756757,-0.027027027027027084
6,another,0.7027027027027027,37,0.7297297297297297,0.027027027027026973
40,chair,0.7027027027027027,37,0.6486486486486487,-0.05405405405405406
238,white,0.7027027027027027,37,0.7837837837837838,0.08108108108108103
29,boy,0.7105263157894737,38,0.8157894736842105,0.10526315789473684
39,cereal,0.7105263157894737,38,0.8157894736842105,0.10526315789473684
176,potty,0.7142857142857143,35,0.7142857142857143,0.0
15,bath,0.7142857142857143,35,0.7714285714285715,0.05714285714285716
92,gift,0.717948717948718,39,0.717948717948718,0.0
174,police,0.717948717948718,39,0.8205128205128205,0.10256410256410253
154,noisy,0.7222222222222222,36,0.6666666666666666,-0.05555555555555558
240,why,0.7222222222222222,36,0.75,0.02777777777777779
229,underwear,0.7297297297297297,37,0.7837837837837838,0.05405405405405406
249,zipper,0.7333333333333333,30,0.6,-0.1333333333333333
108,have,0.7352941176470589,34,0.5588235294117647,-0.17647058823529416
226,toy,0.7368421052631579,38,0.868421052631579,0.13157894736842113
246,yourself,0.7368421052631579,38,0.8157894736842105,0.07894736842105265
69,elephant,0.7368421052631579,38,0.7105263157894737,-0.02631578947368418
0,TV,0.7368421052631579,38,0.7631578947368421,0.026315789473684292
93,giraffe,0.7368421052631579,38,0.7105263157894737,-0.02631578947368418
173,please,0.7368421052631579,38,0.7368421052631579,0.0
210,sun,0.7435897435897436,39,0.7435897435897436,0.0
2,airplane,0.7435897435897436,39,0.8461538461538461,0.10256410256410253
14,balloon,0.7435897435897436,39,0.717948717948718,-0.02564102564102566
224,toothbrush,0.75,40,0.7,-0.050000000000000044
151,napkin,0.75,40,0.675,-0.07499999999999996
175,pool,0.75,36,0.7777777777777778,0.02777777777777779
164,owie,0.75,36,0.7222222222222222,-0.02777777777777779
196,shoe,0.75,36,0.7777777777777778,0.02777777777777779
181,quiet,0.75,36,0.8055555555555556,0.05555555555555558
9,arm,0.75,36,0.6944444444444444,-0.05555555555555558
207,store,0.7567567567567568,37,0.7567567567567568,0.0
208,story,0.7567567567567568,37,0.6486486486486487,-0.10810810810810811
